id,priority_date,cite_number
CN-108335207-B,14/02/2018,
CN-106503994-B,02/11/2016,
CN-109034797-B,26/06/2018,
CN-108961052-B,25/06/2018,
CN-106372533-B,14/09/2016,
CN-108462724-B,17/05/2018,
CN-106485167-B,22/09/2016,
CN-107734502-B,07/09/2017,
CN-108496382-B,05/01/2016,
CN-108369703-B,07/12/2015,
CN-111034114-B,07/08/2017,
CN-106779636-B,29/11/2016,
CN-108028750-B,03/09/2015,
CN-108432176-B,11/08/2015,
CN-106778329-B,28/11/2016,
CN-109636492-B,07/12/2018,
CN-108229962-B,04/01/2018,
CN-110163595-B,24/04/2019,
CN-107679045-B,01/08/2016,
CN-109068299-B,26/09/2018,
CN-108537667-B,09/04/2018,
CN-106982203-B,06/01/2017,
CN-108377206-B,12/03/2018,
CN-106503098-B,14/10/2016,
CN-108777625-B,28/06/2018,
CN-110769305-B,12/09/2019,
CN-108876401-B,29/05/2018,
CN-108282459-B,18/12/2017,
CN-109802993-B,13/12/2018,
CN-110035046-B,16/11/2018,
CN-106779708-B,23/12/2016,
CN-110392889-B,26/03/2019,
CN-110060064-B,26/04/2019,
CN-106651303-B,02/12/2016,
CN-109660501-B,28/03/2016,
CN-107230056-B,28/06/2017,
CN-108023729-B,13/10/2017,
CN-107425981-B,12/06/2017,
CN-108365993-B,09/03/2018,
CN-107172586-B,19/05/2017,
CN-109246137-B,23/10/2018,
CN-111416704-B,17/03/2020,
CN-109583886-B,30/09/2018,
CN-108881169-B,21/05/2018,
CN-111179067-B,31/12/2019,
CN-109039648-B,03/08/2018,
CN-111010382-B,12/09/2019,
CN-110535872-B,12/09/2019,
CN-108595720-B,12/07/2018,
CN-105488675-B,25/11/2015,
CN-109995850-B,05/03/2019,
CN-109150968-B,13/07/2018,
CN-108985772-B,02/07/2018,
CN-108921556-B,02/07/2018,
CN-109792381-B,28/02/2017,
CN-109508968-B,25/10/2018,
CN-109242500-B,20/09/2018,
CN-111741114-B,24/06/2020,
CN-111447177-B,02/03/2020,
CN-109087080-B,13/07/2018,
CN-111127168-B,27/12/2019,
CN-110535969-B,16/09/2019,
CN-111049902-B,16/09/2019,
CN-107480475-B,21/07/2017,
CN-110766550-B,05/09/2019,
CN-107342867-B,07/07/2017,
CN-110474893-B,30/07/2019,
CN-108769150-B,14/05/2018,
CN-106130728-B,29/04/2016,
CN-110336797-B,18/06/2019,
CN-108805564-B,26/04/2018,
CN-110135844-B,28/04/2019,
CN-110446183-B,01/06/2019,
CN-110235410-B,14/02/2017,
CN-110457918-B,09/01/2019,
CN-109257182-B,24/10/2018,
CN-109067791-B,25/09/2018,
CN-107301546-B,03/05/2017,
CN-109036579-B,22/08/2018,
CN-111859348-B,31/07/2020,
CN-109166036-B,19/07/2018,
CN-108876560-B,18/07/2018,
CN-111522800-B,03/07/2020,
CN-111447290-B,12/06/2020,
CN-107240001-B,06/06/2017,
CN-109474584-B,29/10/2018,
CN-108874890-B,16/05/2017,
CN-113169980-B,14/12/2018,
CN-110737664-B,21/10/2019,
CN-105373955-B,08/12/2015,
CN-108881163-B,16/05/2017,
CN-110011996-B,26/03/2019,
CN-109889503-B,22/01/2019,
CN-106972931-B,22/02/2017,
CN-109005186-B,20/08/2018,
CN-109040082-B,10/08/2018,
CN-110352425-B,19/03/2017,
CN-109561066-B,15/10/2018,
CN-111683071-B,29/05/2020,
CN-111092726-B,18/03/2020,
CN-108537916-B,17/04/2018,
CN-112152800-B,18/03/2020,
CN-108737374-B,12/04/2018,
CN-108809932-B,09/04/2018,
CN-107239953-B,20/06/2017,
CN-110572267-B,09/09/2019,
CN-110163590-B,29/04/2019,
CN-107330581-B,08/06/2017,
CN-108418622-B,11/02/2018,
CN-109889504-B,23/01/2019,
CN-109922039-B,14/01/2019,
CN-109492380-B,11/01/2019,
CN-109493024-B,29/09/2018,
CN-109361740-B,27/09/2018,
CN-109379382-B,07/12/2018,
CN-111767484-B,31/08/2020,
CN-112367169-B,11/11/2020,
CN-111767527-B,07/07/2020,
CN-109032706-B,16/07/2018,
CN-112118124-B,03/08/2020,
CN-109842606-B,24/02/2018,
CN-111526200-B,27/04/2020,
CN-108921491-B,25/05/2018,
CN-110993044-B,28/11/2019,
CN-107040582-B,17/02/2017,
CN-110855565-B,22/11/2019,
CN-110602691-B,18/10/2019,
CN-110275884-B,31/05/2019,
CN-109155731-B,23/03/2016,
CN-113015989-A,08/06/2018,
CN-110113167-B,01/04/2019,
CN-110648137-B,26/04/2019,
CN-110086608-B,21/03/2019,
CN-109474424-B,17/12/2018,
CN-111295869-B,02/07/2019,
CN-110933108-B,26/09/2019,
CN-109785130-B,17/12/2018,
CN-106779707-B,23/12/2016,
CN-108537543-B,30/03/2018,
CN-110291757-B,21/02/2017,
CN-111372248-B,27/02/2020,
CN-107577427-B,31/08/2017,
