id,priority_date,cite_number,assignee
GB-2583832-A8,08/03/2019,2,Tracelink Inc
GB-2583832-A,08/03/2019,2,Tracelink Inc
GB-2528486-A,23/07/2014,5,Valasca Ltd
GB-2575172-A,24/05/2018,1,Luther Systems Ltd
GB-2599404-A,30/09/2020,1,Nchain Holdings Ltd
GB-2609833-A,06/04/2020,1,Ibm
GB-2612551-A,30/07/2020,1,Ibm
GB-2610165-A,18/08/2021,1,Nchain Licensing Ag
GB-2563742-A,06/02/2017,2,Northern Trust Corp
GB-2566824-A,31/08/2018,2,Global Blue S A
GB-2580874-A,07/11/2018,2,Robot Protos Ltd
GB-2572925-A,22/03/2019,2,Uhuru Corp
GB-2586865-A,06/09/2019,1,Nchain Holdings Ltd
GB-2484910-A,21/10/2010,1,"Saibabu Malisetti, Lotus Innovations Ltd"
GB-2598111-A,18/08/2020,1,Nchain Holdings Ltd
GB-2587354-A,24/09/2019,2,Nchain Holdings Ltd
GB-2595927-A,12/06/2020,1,Nchain Holdings Ltd
GB-2592225-A,19/02/2020,1,Nchain Holdings Ltd
GB-2594684-A,19/02/2020,1,Nchain Holdings Ltd
GB-2599332-A,30/07/2019,1,Mitsubishi Electric Corp
GB-2575896-A,15/04/2019,1,Thales Holdings Uk Plc
GB-2578647-A,02/11/2018,1,Caura Ltd
GB-2578864-A,24/09/2018,1,Metrarc Ltd
GB-2572567-A,03/04/2018,,Gg Innovation Ltd
GB-2566458-A,13/09/2017,,Uvue Ltd
GB-2493840-A,18/08/2011,,Apple Inc
GB-201214544-D0,18/08/2011,,Apple Inc
GB-2609906-A,09/08/2021,,Nchain Licensing Ag
GB-2612270-A,28/07/2020,,Ibm
GB-2601045-A,29/09/2020,,Ibm
GB-2601894-A,14/10/2020,,Cloudstore Ltd
GB-2607618-A,09/06/2021,,Nchain Licensing Ag
GB-2545509-A,19/12/2015,,Heliopay Ltd
GB-2569736-A,19/04/2019,,Martin Joseph
GB-2589349-A,27/11/2019,,Nchain Holdings Ltd
GB-2612336-A,28/10/2021,,Nchain Licensing Ag
GB-2601125-A,18/11/2020,,Nchain Holdings Ltd
GB-2608179-A,25/06/2021,,Nchain Licensing Ag
GB-2608182-A,25/06/2021,,Nchain Licensing Ag
GB-2607589-A,04/06/2021,,Taal Dit Gmbh
GB-2609186-A,24/05/2021,,Wrt Tech Limited
GB-2611072-A,25/09/2021,,Ip Ledger Ltd
GB-2612338-A,28/10/2021,,Nchain Licensing Ag
GB-2597123-A,14/05/2020,,Hung Hung Chiu
GB-2606527-A,10/05/2021,,Nchain Licensing Ag
GB-2606528-A,10/05/2021,,Nchain Licensing Ag
GB-2612339-A,28/10/2021,,Nchain Licensing Ag
GB-2563390-A,12/06/2017,,British Telecomm
GB-2612337-A,28/10/2021,,Nchain Licensing Ag
GB-2614083-A,21/12/2021,,Bilbo Lyford Ltd
GB-2614077-A,21/12/2021,,Nchain Licensing Ag
GB-2605792-A,13/04/2021,,Nchain Licensing Ag
GB-2605649-A,09/04/2021,,Vodafone Group Services Ltd
GB-2605776-A,07/04/2021,,Nchain Licensing Ag
GB-2604144-A,26/02/2021,,Continental Automotive Gmbh
GB-2604104-A,18/02/2021,,Nchain Holdings Ltd
GB-2602347-A,24/12/2020,,Nchain Holdings Ltd
GB-2602010-A,15/12/2020,,Nchain Holdings Ltd
GB-2608590-A,28/06/2021,,John Ovenden Alan
GB-2600769-A,10/11/2020,,Nchain Holdings Ltd
GB-2600770-A,10/11/2020,,Nchain Holdings Ltd
GB-2598942-A,21/09/2020,,Nchain Holdings Ltd
GB-2597927-A,05/08/2020,,Nchain Holdings Ltd
GB-2597672-A,29/07/2020,,Taal Dit Gmbh
GB-2610072-A,04/06/2019,,Capital One Services Llc
GB-2593933-A,10/04/2020,,"Shapiro Graham, Reggie Sensor Ltd"
GB-2592980-A,13/03/2020,,Nchain Holdings Ltd
GB-2592024-A,12/02/2020,,Cufflink Io Ltd
GB-2606526-A,10/05/2021,,Nchain Licensing Ag
GB-2590937-A,08/01/2020,,Nchain Holdings Ltd
GB-2590390-A,16/12/2019,,Nokia Technologies Oy
GB-2589090-A,15/11/2019,,Nchain Holdings Ltd
GB-2588660-A,31/10/2019,,Nchain Holdings Ltd
GB-2587202-A,17/09/2019,,Nchain Holdings Ltd
GB-2581860-A,16/07/2019,,Steel Software Solutions Ltd
GB-2584347-A,31/05/2019,,British Telecomm
GB-2615820-A,22/02/2022,,Nchain Licensing Ag
GB-2615595-A,15/02/2022,,Nchain Licensing Ag
GB-2615596-A,15/02/2022,,Nchain Licensing Ag
GB-2615965-A,01/12/2020,,Ibm
GB-2566591-A,18/07/2018,,Currency Select Pty Ltd
