id,priority_date,cite_number
KR-20200010288-A,22/05/2017,27.0
KR-20200011949-A,22/05/2017,27.0
KR-20200010286-A,22/05/2017,27.0
KR-102535674-B1,12/12/2017,11.0
KR-101867268-B1,13/10/2017,11.0
KR-20190137068-A,29/05/2018,19.0
KR-20200083936-A,28/12/2018,23.0
KR-20200044014-A,29/08/2017,24.0
KR-20200139845-A,19/08/2016,35.0
KR-20190015287-A,06/06/2016,174.0
KR-20190137103-A,10/04/2017,25.0
KR-20190122815-A,24/03/2017,25.0
KR-20210127784-A,24/03/2017,25.0
KR-102283742-B1,29/05/2018,10.0
KR-20200066262-A,27/11/2018,22.0
KR-20220098392-A,11/04/2016,97.0
KR-102192887-B1,08/04/2019,10.0
KR-102544628-B1,08/03/2019,10.0
KR-20220130252-A,24/03/2016,46.0
KR-20200059233-A,22/09/2017,22.0
KR-20200059234-A,22/09/2017,22.0
KR-102172699-B1,26/01/2018,10.0
KR-20220108214-A,28/10/2016,26.0
KR-102112288-B1,23/10/2018,10.0
KR-20200096785-A,13/12/2017,21.0
KR-102166233-B1,11/10/2018,10.0
KR-101957917-B1,28/08/2018,10.0
KR-20200125778-A,14/11/2016,24.0
KR-20210059003-A,14/11/2016,24.0
KR-20190083336-A,14/11/2016,24.0
KR-20210018546-A,14/11/2016,
KR-20190133621-A,23/05/2018,
KR-20210040569-A,04/10/2019,
KR-20210072000-A,18/09/2017,
KR-102086228-B1,11/06/2018,
KR-102242220-B1,12/05/2017,
KR-20190137063-A,29/05/2018,
KR-20190139940-A,12/04/2017,
KR-20200110605-A,14/03/2019,
KR-20220166794-A,29/02/2020,
KR-20220135251-A,29/07/2016,
KR-20200099149-A,15/12/2017,
KR-101862000-B1,22/11/2017,
KR-101955504-B1,20/11/2017,
KR-102487137-B1,10/01/2020,
KR-20190142353-A,18/04/2017,
KR-20190137065-A,29/05/2018,
KR-20210008516-A,14/05/2018,
KR-20210006934-A,03/05/2018,
KR-20200080291-A,19/01/2018,
KR-102017739-B1,12/05/2017,
KR-20210072071-A,12/10/2018,
KR-20210090611-A,30/08/2018,
KR-102025837-B1,15/11/2018,
KR-20210005035-A,29/03/2018,
KR-20200041338-A,29/08/2017,
KR-20190117485-A,14/07/2017,
KR-20190136245-A,30/05/2018,
KR-102053630-B1,13/03/2018,
KR-20210023369-A,23/08/2019,
KR-20230040628-A,16/09/2021,
KR-20230088745-A,15/10/2020,3.0
KR-102146134-B1,10/12/2018,1.0
KR-20190132938-A,21/05/2018,25.0
KR-20220079958-A,03/06/2020,22.0
KR-20210005686-A,25/04/2018,23.0
KR-20190118561-A,26/07/2017,73.0
KR-20200028961-A,24/07/2017,48.0
KR-20190101402-A,14/07/2017,37.0
KR-20210081444-A,28/04/2017,48.0
KR-20190090832-A,28/04/2017,48.0
KR-20190068542-A,08/03/2017,113.0
KR-20190099222-A,28/03/2017,40.0
KR-20190123774-A,28/03/2017,39.0
KR-20190098765-A,17/02/2017,37.0
KR-20210011513-A,28/12/2016,48.0
KR-102193552-B1,26/04/2019,10.0
KR-20180113084-A,05/04/2017,70.0
KR-102120703-B1,27/07/2018,10.0
KR-20180114939-A,23/02/2016,80.0
KR-20200078420-A,19/12/2018,21.0
KR-20220080217-A,27/01/2016,65.0
KR-20180068888-A,14/12/2016,24.0
KR-20210143719-A,20/03/2019,17.0
KR-20200108231-A,06/03/2019,17.0
KR-20190101061-A,22/02/2018,22.0
KR-20180079805-A,02/01/2017,30.0
KR-20200079290-A,19/01/2018,17.0
KR-101932277-B1,22/12/2017,10.0
KR-20180079847-A,03/01/2017,23.0
KR-102193533-B1,27/11/2018,9.0
KR-102094497-B1,16/08/2017,9.0
KR-101868589-B1,30/03/2018,9.0
KR-20190094191-A,28/03/2017,17.0
KR-102406172-B1,27/08/2021,8.0
KR-20200009673-A,19/07/2018,
KR-102173426-B1,08/07/2020,8.0
KR-20210148863-A,29/05/2020,13.0
KR-102141069-B1,26/02/2020,8.0
KR-102472362-B1,06/11/2017,9.0
KR-102283744-B1,27/11/2019,8.0
KR-102225196-B1,06/11/2019,8.0
KR-20200016389-A,05/07/2017,15.0
KR-20200101512-A,30/01/2019,14.0
KR-20210128454-A,15/02/2019,13.0
KR-20220010701-A,16/07/2020,22.0
KR-102116325-B1,07/06/2019,11.0
KR-20200074908-A,13/12/2018,44.0
KR-20200054130-A,07/11/2018,48.0
KR-20210006393-A,25/04/2018,23.0
KR-20200074912-A,13/12/2018,36.0
KR-20190097269-A,26/07/2017,66.0
KR-20190111042-A,26/07/2017,55.0
KR-20190105027-A,18/07/2017,52.0
KR-20200081422-A,14/02/2018,22.0
KR-20210050527-A,10/08/2018,21.0
KR-20190138803-A,11/04/2017,16.0
KR-20200091882-A,22/11/2017,28.0
KR-20190092564-A,26/01/2017,59.0
KR-20200086281-A,09/11/2017,27.0
KR-20200141086-A,24/07/2018,20.0
KR-101621602-B1,09/03/2011,20.0
KR-20200074911-A,13/12/2018,24.0
KR-102469300-B1,10/04/2019,10.0
KR-102134792-B1,11/12/2019,10.0
KR-20190091484-A,28/03/2017,25.0
KR-20180127504-A,11/04/2016,97.0
KR-20190067581-A,07/12/2017,26.0
KR-20210135477-A,04/12/2018,13.0
KR-20180112061-A,23/02/2016,173.0
KR-20180104767-A,12/02/2016,127.0
KR-20200083979-A,03/11/2017,24.0
KR-20200073283-A,10/05/2018,17.0
KR-20200066254-A,27/11/2018,19.0
KR-20190119453-A,12/04/2018,20.0
KR-20200087140-A,25/10/2017,19.0
KR-20190032522-A,25/07/2016,26.0
KR-102355550-B1,22/06/2021,9.0
KR-20200083544-A,14/02/2018,16.0
KR-102433504-B1,13/11/2019,9.0
KR-102499076-B1,16/05/2018,9.0
KR-20210089682-A,12/12/2018,15.0
KR-102255287-B1,05/06/2018,9.0
KR-102296831-B1,08/04/2019,8.0
KR-20190128309-A,08/05/2018,15.0
KR-102285798-B1,19/12/2018,8.0
KR-101918319-B1,23/02/2011,13.0
KR-102033259-B1,29/06/2018,8.0
KR-20200139223-A,05/04/2018,13.0
KR-20200107768-A,04/03/2019,13.0
KR-102144532-B1,13/01/2020,8.0
KR-20220044700-A,04/06/2018,1.0
KR-20190103027-A,27/02/2018,6.0
KR-20200094827-A,22/01/2019,13.0
KR-20200137818-A,31/05/2019,14.0
KR-20210057149-A,29/08/2019,13.0
KR-102412024-B1,15/10/2019,8.0
KR-20210122913-A,16/04/2018,14.0
KR-20210015786-A,16/04/2018,14.0
KR-20200083934-A,29/12/2018,14.0
KR-20210133289-A,24/04/2019,13.0
KR-20210035485-A,24/09/2019,3.0
KR-20190062800-A,29/11/2017,15.0
KR-102170892-B1,07/08/2018,8.0
KR-102144529-B1,17/09/2019,1.0
KR-102150158-B1,12/07/2018,8.0
KR-102074074-B1,08/05/2018,8.0
KR-20200092368-A,27/11/2017,97.0
KR-20200054127-A,07/11/2018,47.0
KR-20210005920-A,25/04/2018,23.0
KR-20210046659-A,15/10/2019,21.0
KR-20220025243-A,19/08/2019,21.0
KR-20210146890-A,19/08/2019,21.0
KR-20200002985-A,02/11/2017,43.0
KR-102332034-B1,29/12/2018,11.0
KR-102239398-B1,29/12/2018,11.0
KR-20190098752-A,14/07/2017,58.0
KR-102162613-B1,04/12/2018,11.0
KR-20200032086-A,01/06/2017,106.0
KR-20190134634-A,28/08/2017,33.0
KR-20190125426-A,29/03/2017,77.0
KR-20200054125-A,07/11/2018,29.0
KR-20190099076-A,10/03/2017,54.0
KR-20200126320-A,26/04/2019,21.0
KR-20200081394-A,02/11/2017,14.0
KR-20200081391-A,02/11/2017,14.0
KR-20200081395-A,02/11/2017,14.0
KR-20200084009-A,14/02/2018,21.0
KR-20200079503-A,09/11/2017,27.0
KR-102254499-B1,30/03/2018,11.0
KR-20190092483-A,22/05/2017,29.0
KR-20190103212-A,24/02/2017,31.0
KR-20210157456-A,12/06/2018,18.0
KR-102545615-B1,15/03/2019,10.0
KR-20180022507-A,24/08/2016,20.0
KR-20200112635-A,18/03/2019,19.0
KR-20190004310-A,29/04/2016,58.0
KR-20190006506-A,29/04/2016,42.0
KR-20220141351-A,11/04/2016,
KR-102237014-B1,28/02/2019,
KR-20190071778-A,28/10/2016,
KR-20200023931-A,27/08/2018,
KR-20180129027-A,24/05/2017,
KR-20200083930-A,29/12/2018,
KR-20200113155-A,21/03/2019,
KR-102238954-B1,07/11/2018,
KR-102301257-B1,11/04/2017,
KR-102519646-B1,26/10/2018,
