filingDate,patentNumber
08/09/2016,20160379330
11/06/2012,9531802
22/08/2016,20160373440
16/12/2015,20160371509
03/05/2016,20160371771
17/06/2016,20160371679
21/01/2014,9524340
13/11/2012,9524500
30/10/2015,20160364707
08/02/2016,20160366170
02/11/2015,20160364086
13/06/2016,20160364700
12/04/2016,20160366112
08/06/2016,20160366196
27/12/2011,9521552
05/06/2015,20160357353
12/03/2015,20160358169
03/06/2016,20160358186
05/06/2015,20160359999
09/07/2016,20160358187
05/10/2015,20160358135
01/06/2016,20160360391
08/06/2015,20160358117
07/11/2015,20160358420
06/06/2016,20160358161
02/06/2016,20160358203
05/10/2015,20160358253
09/07/2016,20160358158
08/06/2016,20160358165
07/06/2016,20160359637
08/06/2015,20160357550
09/01/2014,9514215
25/04/2016,9513627
12/08/2016,20160350772
27/05/2016,20160352923
29/05/2015,20160350716
21/05/2015,20160342994
21/05/2015,20160342978
21/05/2015,20160342989
21/05/2015,20160342976
19/02/2016,20160345066
02/05/2016,20160342977
19/05/2015,20160344543
15/09/2012,9501479
28/07/2016,20160335420
06/01/2015,20160331276
14/05/2015,20160335628
12/05/2016,20160335609
11/05/2016,20160337136
20/05/2015,20160335621
12/05/2015,20160335630
27/09/2013,9495668
23/12/2014,20160330173
09/05/2016,20160330034
05/05/2016,20160330035
06/05/2015,20160330031
06/05/2015,20160325185
04/05/2015,20160328811
17/02/2014,9491040
29/03/2012,9490974
19/12/2013,20160323271
06/06/2016,20160321654
30/12/2015,20160323109
28/04/2016,20160320936
30/12/2015,20160321769
21/04/2015,20160314142
21/04/2016,20160315905
30/09/2013,9479521
11/09/2015,20160307192
06/04/2016,20160300234
07/04/2015,20160299918
11/04/2016,20160300200
07/04/2016,20160300222
31/03/2016,20160292672
30/03/2015,20160291952
30/03/2015,20160292788
04/04/2016,20160292680
12/11/2015,20160283941
25/03/2015,20160283939
28/03/2016,20160283920
24/03/2015,20160284022
16/03/2015,20160275294
18/03/2016,20160275461
16/05/2008,9449299
27/06/2014,9451011
07/03/2016,20160269178
09/03/2016,20160267808
12/03/2015,20160269182
11/03/2016,20160269402
13/03/2015,20160267481
16/03/2016,20160267474
13/03/2015,20160267605
24/05/2016,20160267601
11/06/2015,20160267472
09/07/2003,9445133
13/04/2015,9443392
15/12/2015,20160261999
26/05/2015,20160260187
27/05/2015,20160261635
05/03/2015,20160260169
27/05/2015,20160259835
27/05/2015,20160261682
02/03/2015,20160259509
05/03/2015,20160260232
