id,title,assignee,inventor,priority_date,filing_date,publication_date,grant_date,result_link,representative_figure_link
GB-2580874-A,Method for generating verifiable random selections ,Robot Protos Ltd,Jan Stefan Hamminga Derk,07/11/2018,07/11/2018,05/08/2020,,https://patents.google.com/patent/GB2580874A/en,
GB-2572925-A,"Device managment system, device managment method. Information processing device, device, and program ",Uhuru Corp,"Takenoshita Koyo, Kojo Atsushi",22/03/2019,29/07/2019,16/10/2019,,https://patents.google.com/patent/GB2572925A/en,
GB-2586865-A,Methods and Devices for Tracking and Measuring Proof-of-Work Contributions in a Mining Pool ,Nchain Holdings Ltd,"Mackay Alexander, Vaughan Owen",06/09/2019,06/09/2019,10/03/2021,,https://patents.google.com/patent/GB2586865A/en,
GB-2484910-A,Digital asset and advert on demand system ,"Saibabu Malisetti, Lotus Innovations Ltd",Saibabu Malisetti,21/10/2010,21/10/2010,02/05/2012,,https://patents.google.com/patent/GB2484910A/en,
GB-2598111-A,Digital signatures ,Nchain Holdings Ltd,"Pettit Michaella, Steven Wright Craig",18/08/2020,18/08/2020,23/02/2022,,https://patents.google.com/patent/GB2598111A/en,
GB-2587354-A,Divisible tokens ,Nchain Holdings Ltd,"Zhang Wei, Steven Wright Craig",24/09/2019,24/09/2019,31/03/2021,,https://patents.google.com/patent/GB2587354A/en,
GB-2595927-A,File verification system and method ,Nchain Holdings Ltd,"Pagani Alessio, Steven Wright Craig",12/06/2020,12/06/2020,15/12/2021,,https://patents.google.com/patent/GB2595927A/en,
GB-2592225-A,Attestation service for use with a blockchain network ,Nchain Holdings Ltd,"Steven Wright Craig, Vaughan Owen, Owen Davies Jack",19/02/2020,19/02/2020,25/08/2021,,https://patents.google.com/patent/GB2592225A/en,
GB-2594684-A,Layered network ,Nchain Holdings Ltd,"Vaughan Owen, Davies Jack, Steven Wright Craig",19/02/2020,19/02/2020,10/11/2021,,https://patents.google.com/patent/GB2594684A/en,
GB-2599332-A,"Virtual securities collection device, virtual securities collection program, and virtual securities collection method ",Mitsubishi Electric Corp,"Matsumoto Mitsuhiro, Yokochi Hiroshi, Nakashima Daiki",30/07/2019,30/07/2019,30/03/2022,,https://patents.google.com/patent/GB2599332A/en,
GB-2575896-A,Methods and systems for validating data in a distributed computing network ,Thales Holdings Uk Plc,"Waller Adrian, Farley Naomi",15/04/2019,15/04/2019,29/01/2020,,https://patents.google.com/patent/GB2575896A/en,
GB-2578647-A,Encrypted automotive data ,Caura Ltd,"Lakshmi Sai, Tingley Christopher",02/11/2018,02/11/2018,20/05/2020,,https://patents.google.com/patent/GB2578647A/en,
GB-2578864-A,Trusted ring ,Metrarc Ltd,"Dieter Mcdonald-Maier Klaus, Gareth James Howells William, Tahir Ruhma",24/09/2018,24/09/2018,03/06/2020,,https://patents.google.com/patent/GB2578864A/en,
GB-2572567-A,Computer-implemented method ,Gg Innovation Ltd,Wong William,03/04/2018,03/04/2018,09/10/2019,,https://patents.google.com/patent/GB2572567A/en,
